Lot_Area,Central_Air,SalePrice,Sq_ft,Has_Garage,Large_Lot,Finished_Basement
13517,1,130500,2204.0,1,1,1
11492,1,220000,3035.0,1,0,1
7922,1,109000,2114.0,1,0,1
9802,1,174000,1828.0,1,0,0
14235,1,138500,2121.0,1,1,0
16492,1,190000,3405.0,1,1,1
3675,1,140000,1619.0,1,0,1
12160,1,142000,2376.0,1,1,1
15783,1,112500,1848.0,1,1,1
11606,1,135000,3120.0,1,0,1
1680,1,85400,1470.0,1,0,1
7488,1,183600,2416.0,1,0,1
26400,1,131000,2016.0,1,1,0
2645,1,200000,2567.0,1,0,1
9627,1,193000,2712.0,1,0,1
10114,1,173500,2860.0,1,0,0
4571,0,98000,1968.0,1,0,0
8816,1,139000,2242.0,1,0,1
8197,1,143500,1945.0,1,0,0
8640,1,215200,2303.0,1,0,1
8724,1,129000,1788.0,1,0,1
5664,1,278000,3160.0,1,0,1
12867,1,344133,3462.0,1,1,0
7980,1,185000,2355.0,1,0,1
34650,0,145000,2112.0,1,1,1
10573,1,187500,2906.0,1,0,1
8450,1,138500,1788.0,1,0,1
11700,1,198000,2880.0,1,0,1
8250,0,119600,2948.0,0,0,0
8064,1,122900,1596.0,1,0,0
9600,1,278000,5048.0,1,0,1
11435,1,230000,2309.0,1,0,0
9549,1,270000,2988.0,1,0,1
10950,1,125000,1896.0,1,0,1
10637,1,297000,3423.0,1,0,1
9000,1,113500,1302.0,1,0,0
2665,1,127000,2232.0,1,0,1
11751,1,190000,3688.0,1,0,1
9600,1,175500,2484.0,1,0,1
8428,1,146000,1980.0,1,0,1
9937,1,147500,2512.0,1,0,1
13891,1,465000,4152.0,1,1,1
9101,1,165500,2207.0,1,0,1
12150,0,131500,2845.0,1,1,0
11200,1,129500,2080.0,1,0,1
9670,1,257076,2481.0,1,0,1
10998,1,117000,2588.0,1,0,1
7200,1,149000,2278.0,1,0,0
9920,1,128000,2119.0,1,0,1
2448,1,155000,2390.0,1,0,0
2998,1,166000,2280.0,1,0,1
7804,1,135000,3103.0,1,0,1
16692,1,250000,4176.0,1,1,1
1476,1,76000,1638.0,0,0,1
10170,1,155000,1791.0,1,0,0
9364,1,158000,2015.0,1,0,1
2544,1,149500,1800.0,1,0,1
9888,1,121000,1872.0,1,0,1
7942,1,136000,2080.0,1,0,1
15038,1,173000,2552.0,1,1,1
11764,1,290000,3422.0,1,0,1
9000,1,303477,3794.0,1,0,1
20062,1,270000,2903.0,1,1,1
7308,0,122250,2676.0,1,0,1
8750,1,153000,2764.0,1,0,1
8402,1,147000,2240.0,0,0,1
4000,1,148500,1629.0,1,0,1
3363,1,130000,2684.0,1,0,0
13615,1,372000,3604.0,1,1,0
3013,1,213490,2868.0,1,0,1
17485,1,308030,3016.0,1,1,1
23730,1,300000,3872.0,1,1,1
8910,1,159500,1849.0,1,0,1
2522,1,137500,2679.0,1,0,0
8688,1,232000,3232.0,1,0,0
6291,1,93850,1536.0,1,0,0
17529,0,105000,1744.0,1,1,0
6324,0,68500,1040.0,1,0,0
11600,1,154300,3379.0,1,0,1
7288,1,129850,2537.0,0,0,0
4571,1,114000,1848.0,1,0,1
17423,1,501837,4450.0,1,1,1
12665,1,153900,2292.0,1,1,0
9000,1,130000,1728.0,1,0,1
4500,1,160500,2378.0,1,0,1
6373,1,310090,3332.0,1,0,1
10083,1,184900,2376.0,1,0,1
13300,1,132000,1856.0,1,1,1
9600,1,163000,2624.0,1,0,1
3215,1,155000,1800.0,1,0,1
11104,1,183000,2854.0,1,0,1
15295,1,211000,2852.0,1,1,1
9109,1,184000,2294.0,1,0,1
7018,1,118858,1535.0,1,0,0
14112,1,180500,2304.0,1,1,1
3523,1,166000,2292.0,1,0,1
15312,1,148000,2276.0,1,1,1
7450,1,124000,1968.0,1,0,1
7313,1,277500,3122.0,1,0,1
10019,1,350000,4068.0,1,0,1
15401,1,387000,3768.0,1,1,1
9098,1,86000,1133.0,0,0,1
16280,1,290000,3097.0,1,1,1
9392,0,44000,1042.0,0,0,0
12209,1,215000,2765.0,1,1,1
13110,1,146500,2346.0,1,1,1
2651,1,165000,2055.0,1,0,1
8520,0,136000,3240.0,1,0,1
39384,1,252000,3095.0,1,1,1
2628,1,175500,2390.0,1,0,0
6406,1,150000,2248.0,1,0,1
12342,1,139900,2400.0,1,1,0
6240,1,162900,2651.0,1,0,0
10000,1,160000,2232.0,1,0,0
9000,0,63900,660.0,0,0,0
11088,1,184000,2847.0,1,0,1
17755,1,149900,2932.0,1,1,1
4765,1,300000,3252.0,1,0,1
10532,1,145000,2709.0,1,0,1
15426,1,231500,2692.0,1,1,1
13907,1,108000,1992.0,0,1,1
8750,1,120000,2404.0,1,0,1
9945,1,128500,1976.0,1,0,1
8960,1,115000,2036.0,1,0,0
3500,1,110000,2004.0,1,0,1
24572,1,150000,3938.0,1,1,1
9056,1,178000,2121.0,1,0,0
12320,1,199500,2246.0,1,1,0
8238,1,183500,2338.0,1,0,1
6000,1,126000,2280.0,1,0,1
2529,1,148500,2110.0,1,0,1
10800,1,149000,2028.0,1,0,0
2349,1,137900,2311.0,1,0,1
10846,1,324000,3438.0,1,0,1
5604,0,98000,1728.0,0,0,1
1680,1,103400,1470.0,1,0,1
6342,0,94000,1800.0,0,0,0
4590,1,209500,3108.0,1,0,1
18062,1,545224,4918.0,1,1,0
12900,1,159900,2340.0,0,1,0
19138,1,141000,1728.0,1,1,1
8658,1,215000,2871.0,1,0,1
6897,1,127000,2080.0,1,0,1
9525,1,128000,2344.0,1,0,1
12853,1,267916,3060.0,1,1,1
6240,1,127500,2251.0,1,0,1
7301,1,198500,1922.0,1,0,0
12090,1,175500,2844.0,1,1,1
8826,1,217500,2827.0,1,0,1
8094,1,149500,2850.0,1,0,0
10710,1,148800,1984.0,1,0,1
16056,1,556581,4860.0,1,1,1
8400,1,156500,2956.0,1,0,1
11250,1,237000,2925.0,1,0,1
7535,1,120000,1824.0,1,0,1
12216,1,203000,2652.0,1,1,1
3701,1,130000,2395.0,1,0,0
9760,1,167900,2391.0,1,0,1
9873,0,129000,1920.0,1,0,1
10011,1,134450,2306.0,1,0,1
25339,1,112000,2232.0,1,1,0
8883,1,207000,2802.0,1,0,1
3000,0,62500,3168.0,0,0,0
2448,1,154000,2390.0,1,0,1
7100,1,129900,1632.0,1,0,1
2592,1,85000,1648.0,1,0,1
5700,1,116900,1683.0,1,0,0
2289,1,148500,2296.0,1,0,1
12180,0,80000,1596.0,1,1,1
7400,1,152000,2186.0,1,0,1
8842,1,155891,1373.0,1,0,0
8850,1,165000,2144.0,1,0,0
9215,1,204500,2436.0,1,0,0
9480,1,146500,2372.0,1,0,1
11880,1,157000,2872.0,1,0,1
10800,1,184000,3808.0,1,0,0
7861,1,183200,2292.0,1,0,1
11616,1,139000,2184.0,1,0,1
10542,1,341000,3729.0,1,0,1
1680,1,96000,1470.0,1,0,1
8546,1,140000,2242.0,1,0,0
7407,1,149700,2148.0,1,0,1
10140,1,153500,2130.0,1,0,1
14584,0,13100,733.0,1,1,0
8158,1,224900,2652.0,1,0,1
7500,1,176000,2523.0,1,0,0
10678,1,285000,4555.0,1,0,1
15256,1,282922,2949.0,1,1,1
14200,1,226000,3081.0,1,1,1
12438,1,361919,3810.0,1,1,0
16023,1,457347,4196.0,1,1,1
20064,1,279000,2709.0,1,1,1
9819,1,196000,3134.0,1,0,1
10400,1,152000,2460.0,1,0,0
11643,1,200000,3882.0,1,0,1
11645,1,294900,3160.0,1,0,1
7328,1,224243,2900.0,1,0,0
7822,1,92000,2170.0,1,0,0
9018,1,179540,2184.0,1,0,0
13472,1,386250,4784.0,1,1,1
1533,1,106500,1522.0,1,0,1
11003,1,310000,3024.0,1,0,1
10790,1,252000,3451.0,1,0,0
7128,1,164000,2564.0,1,0,1
7713,1,177594,2184.0,1,0,0
6240,1,123900,1568.0,1,0,1
22420,0,239000,3994.0,1,1,1
15300,1,169000,2332.0,1,1,1
3196,1,234000,2931.0,1,0,0
9360,1,173000,2244.0,1,0,1
11241,1,149000,2008.0,1,0,1
9260,1,170000,2324.0,1,0,0
7993,1,225000,2872.0,1,0,0
9239,1,144900,1920.0,1,0,1
10044,1,144000,2392.0,1,0,1
3182,1,192000,2525.0,1,0,1
7626,1,145500,2062.0,1,0,1
